record_id,timestamp,equipment_id,temperature_c,pressure_bar,thickness_nm,rf_power_w,gas_flow_sccm,vibration_mm_s,alarm_state
D1-15-01,2026-08-01 15:00:00,CVD_01,346.4,2.409,99.89,608,177.6,0.81,NORMAL
D1-15-02,2026-08-01 15:00:00,CVD_02,351.7,2.289,101.89,628,185.6,0.87,NORMAL
D1-15-03,2026-08-01 15:00:00,CVD_03,342.4,2.529,98.39,593,171.6,0.75,NORMAL
D1-16-01,2026-08-01 15:30:00,CVD_01,343.6,2.760,100.11,592,178.4,0.84,WARNING
D1-16-02,2026-08-01 15:30:00,CVD_02,348.9,2.307,102.11,612,186.4,0.90,NORMAL
D1-16-03,2026-08-01 15:30:00,CVD_03,339.6,2.547,98.61,577,172.4,0.78,NORMAL
D1-17-01,2026-08-01 16:00:00,CVD_01,344.3,2.930,100.33,596,179.2,1.62,DANGER
D1-17-02,2026-08-01 16:00:00,CVD_02,349.6,2.253,102.33,616,187.2,0.82,NORMAL
D1-17-03,2026-08-01 16:00:00,CVD_03,340.3,2.493,98.83,581,173.2,0.70,NORMAL
D1-18-01,2026-08-01 16:30:00,CVD_01,345.0,2.391,100.55,600,180.0,0.79,NORMAL
D1-18-02,2026-08-01 16:30:00,CVD_02,350.3,2.271,102.55,620,188.0,0.85,NORMAL
D1-18-03,2026-08-01 16:30:00,CVD_03,341.0,2.511,99.05,585,174.0,0.73,NORMAL
D1-19-01,2026-08-01 17:00:00,CVD_01,345.7,2.409,99.45,604,180.8,0.81,NORMAL
D1-19-02,2026-08-01 17:00:00,CVD_02,351.0,2.289,101.45,624,188.8,0.87,NORMAL
D1-19-03,2026-08-01 17:00:00,CVD_03,341.7,2.529,97.95,589,174.8,0.75,NORMAL
D1-20-01,2026-08-01 17:30:00,CVD_01,346.4,2.427,99.67,608,181.6,0.84,NORMAL
D1-20-02,2026-08-01 17:30:00,CVD_02,351.7,2.307,101.67,628,189.6,0.90,NORMAL
D1-20-03,2026-08-01 17:30:00,CVD_03,342.4,2.547,111.80,593,175.6,0.78,DANGER
D1-21-01,2026-08-01 18:00:00,CVD_01,343.6,2.373,99.89,592,182.4,0.76,NORMAL
D1-21-02,2026-08-01 18:00:00,CVD_02,348.9,2.253,101.89,612,190.4,0.82,NORMAL
D1-21-03,2026-08-01 18:00:00,CVD_03,339.6,2.493,98.39,577,176.4,0.70,NORMAL
D1-22-01,2026-08-01 18:30:00,CVD_01,344.3,2.391,100.11,596,177.6,0.79,NORMAL
D1-22-02,2026-08-01 18:30:00,CVD_02,349.6,2.271,102.11,616,185.6,0.85,NORMAL
D1-22-03,2026-08-01 18:30:00,CVD_03,340.3,2.511,98.61,581,171.6,0.73,NORMAL
D1-23-01,2026-08-01 19:00:00,CVD_01,345.0,2.409,100.33,600,178.4,0.81,NORMAL
D1-23-02,2026-08-01 19:00:00,CVD_02,350.3,2.289,102.33,620,186.4,0.87,NORMAL
D1-23-03,2026-08-01 19:00:00,CVD_03,341.0,2.529,98.83,585,172.4,0.75,NORMAL
D1-24-01,2026-08-01 19:30:00,CVD_01,345.7,2.427,100.55,604,179.2,0.84,NORMAL
D1-24-02,2026-08-01 19:30:00,CVD_02,351.0,2.307,102.55,624,187.2,0.90,NORMAL
D1-24-03,2026-08-01 19:30:00,CVD_03,341.7,2.547,99.05,589,173.2,0.78,NORMAL
